id,degree,minute,name_part
,1,1,aba
,2,2,aca
,3,3,ada
,4,4,afa
,5,5,aga
,6,6,aha
,7,7,aja
,8,8,aka
,9,9,ala
,10,10,ama
,11,11,ana
,12,12,apa
,13,13,aqa
,14,14,ara
,15,15,asa
,16,16,ata
,17,17,ava
,18,18,awa
,19,19,aya
,20,20,aza
,21,21,eba
,22,22,eca
,23,23,eda
,24,24,efa
,25,25,ega
,26,26,eha
,27,27,eja
,28,28,eka
,29,29,ela
,30,30,ema
,31,31,ena
,32,32,epa
,33,33,eqa
,34,34,era
,35,35,esa
,36,36,eta
,37,37,eva
,38,38,ewa
,39,39,eya
,40,40,eza
,41,41,iba
,42,42,ica
,43,43,ida
,44,44,ifa
,45,45,iga
,46,46,iha
,47,47,ija
,48,48,ika
,49,49,ila
,50,50,ima
,51,51,ina
,52,52,ipa
,53,53,iqa
,54,54,ira
,55,55,isa
,56,56,ita
,57,57,iva
,58,58,iwa
,59,59,iya
,60,60,iza
,61,,bab
,62,,cab
,63,,dab
,64,,fab
,65,,gab
,66,,hab
,67,,jab
,68,,kab
,69,,lab
,70,,mab
,71,,nab
,72,,pab
,73,,qab
,74,,rab
,75,,sab
,76,,tab
,77,,vab
,78,,wab
,79,,yab
,80,,zab
,81,,beb
,82,,ceb
,83,,deb
,84,,feb
,85,,geb
,86,,heb
,87,,jeb
,88,,keb
,89,,leb
,90,,meb
,91,,neb
,92,,peb
,93,,qeb
,94,,reb
,95,,seb
,96,,teb
,97,,veb
,98,,web
,99,,yeb
,100,,zeb
,101,,bib
,102,,cib
,103,,dib
,104,,fib
,105,,gib
,106,,hib
,107,,jib
,108,,kib
,109,,lib
,110,,mib
,111,,nib
,112,,pib
,113,,qib
,114,,rib
,115,,sib
,116,,tib
,117,,vib
,118,,wib
,119,,yib
,120,,zib
,121,,bob
,122,,cob
,123,,dob
,124,,fob
,125,,gob
,126,,hob
,127,,job
,128,,kob
,129,,lob
,130,,mob
,131,,nob
,132,,pob
,133,,qob
,134,,rob
,135,,sob
,136,,tob
,137,,vob
,138,,wob
,139,,yob
,140,,zob
,141,,bub
,142,,cub
,143,,dub
,144,,fub
,145,,gub
,146,,hub
,147,,jub
,148,,kub
,149,,lub
,150,,mub
,151,,nub
,152,,pub
,153,,qub
,154,,rub
,155,,sub
,156,,tub
,157,,vub
,158,,wub
,159,,yub
,160,,zub
,161,,bat
,162,,cat
,163,,dat
,164,,fat
,165,,gat
,166,,hat
,167,,jat
,168,,kat
,169,,lat
,170,,mat
,171,,nat
,172,,pat
,173,,qat
,174,,rat
,175,,sat
,176,,tat
,177,,vat
,178,,wat
,179,,yat
,180,,zat
,181,,bet
,182,,cet
,183,,det
,184,,fet
,185,,get
,186,,het
,187,,jet
,188,,ket
,189,,let
,190,,met
,191,,net
,192,,pet
,193,,qet
,194,,ret
,195,,set
,196,,tet
,197,,vet
,198,,wet
,199,,yet
,200,,zet
,201,,bit
,202,,cit
,203,,dit
,204,,fit
,205,,git
,206,,hit
,207,,jit
,208,,kit
,209,,lit
,210,,mit
,211,,nit
,212,,pit
,213,,qit
,214,,rit
,215,,sit
,216,,tit
,217,,vit
,218,,wit
,219,,yit
,220,,zit
,221,,bot
,222,,cot
,223,,dot
,224,,fot
,225,,got
,226,,hot
,227,,jot
,228,,kot
,229,,lot
,230,,mot
,231,,not
,232,,pot
,233,,qot
,234,,rot
,235,,sot
,236,,tot
,237,,vot
,238,,wot
,239,,yot
,240,,zot
,241,,but
,242,,cut
,243,,dut
,244,,fut
,245,,gut
,246,,hut
,247,,jut
,248,,kut
,249,,lut
,250,,mut
,251,,nut
,252,,put
,253,,qut
,254,,rut
,255,,sut
,256,,tut
,257,,vut
,258,,wut
,259,,yut
,260,,zut
,261,,ban
,262,,can
,263,,dan
,264,,fan
,265,,gan
,266,,han
,267,,jan
,268,,kan
,269,,lan
,270,,man
,271,,nan
,272,,pan
,273,,qan
,274,,ran
,275,,san
,276,,tan
,277,,van
,278,,wan
,279,,yan
,280,,zan
,281,,ben
,282,,cen
,283,,den
,284,,fen
,285,,gen
,286,,hen
,287,,jen
,288,,ken
,289,,len
,290,,men
,291,,nen
,292,,pen
,293,,qen
,294,,ren
,295,,sen
,296,,ten
,297,,ven
,298,,wen
,299,,yen
,300,,zen
,301,,bin
,302,,cin
,303,,din
,304,,fin
,305,,gin
,306,,hin
,307,,jin
,308,,kin
,309,,lin
,310,,min
,311,,nin
,312,,pin
,313,,qin
,314,,rin
,315,,sin
,316,,tin
,317,,vin
,318,,win
,319,,yin
,320,,zin
,321,,bon
,322,,con
,323,,don
,324,,fon
,325,,gon
,326,,hon
,327,,jon
,328,,kon
,329,,lon
,330,,mon
,331,,non
,332,,pon
,333,,qon
,334,,ron
,335,,son
,336,,ton
,337,,von
,338,,won
,339,,yon
,340,,zon
,341,,bun
,342,,cun
,343,,dun
,344,,fun
,345,,gun
,346,,hun
,347,,jun
,348,,kun
,349,,lun
,350,,mun
,351,,nun
,352,,pun
,353,,qun
,354,,run
,355,,sun
,356,,tun
,357,,vun
,358,,wun
,359,,yun
,360,,zun
